run_id,arm,device,scenario,concurrency,run_duration_s,num_requests,num_completed,num_errors,error_rate,requests_per_s,output_tok_s,total_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,tpot_max_ms,e2e_p50_ms,e2e_p99_ms,input_tokens_mean,output_tokens_mean,time_unit,source,running_batch_mean,preemptions,engine_steps,sm_mhz_mean
20260919T215814,fcfs_40960,NVIDIA L40S,"D(1024,256)",256,120.31,1231,1231,0,0,10.232,1966.1,9743.4,20362.208,23173.786,23357.714,12.618,23.132,23.557,23753.143,26577.694,1012.644,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,34.6,253,9122,2488.51
20260919T220051,sjf_40960,NVIDIA L40S,"D(1024,256)",256,120.473,1205,1205,0,0,10.002,1921.0,9517.4,113.04,69927.097,75553.247,13.027,24.054,25.189,3453.889,78946.833,1012.352,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,34.76,334,9022,2492.61
20260919T220329,cache_40960,NVIDIA L40S,"D(1024,256)",256,120.507,1198,1198,0,0,9.941,1909.8,9464.9,22316.883,24213.77,24264.529,12.909,23.537,24.261,26641.347,27541.557,1012.724,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,34.65,258,8942,2499.11
20260919T220606,fcfs_102400,NVIDIA L40S,"D(1024,256)",256,120.325,1597,1597,0,0,13.272,2548.8,12631.5,12875.528,13149.535,13178.535,24.27,41.965,43.218,19064.16,19390.866,1012.681,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,86.14,305,4799,2476.34
20260919T220844,sjf_102400,NVIDIA L40S,"D(1024,256)",256,120.548,1590,1590,0,0,13.19,2533.3,12554.0,135.246,41620.637,92590.452,24.868,44.66,48.082,6480.203,100629.835,1012.552,255.982,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,86.91,344,4754,2481.93
20260919T221122,cache_102400,NVIDIA L40S,"D(1024,256)",256,120.523,1597,1597,0,0,13.251,2544.6,12611.4,13097.378,13493.024,13588.826,24.318,42.217,43.946,19311.282,21942.251,1012.754,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,86.25,300,4804,2475.92
20260919T221400,fcfs_full,NVIDIA L40S,"D(1024,256)",256,120.505,1792,1792,0,0,14.871,2855.2,14150.6,267.369,515.958,715.911,61.899,62.853,63.387,16046.753,16466.83,1012.764,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,243.37,0,1953,2515.89
20260919T221638,sjf_full,NVIDIA L40S,"D(1024,256)",256,120.547,1792,1792,0,0,14.866,2854.2,14146.1,265.036,335.788,1571.057,61.899,62.811,63.376,16044.459,17322.127,1012.799,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,243.39,0,1954,2515.66
20260919T221920,cache_full,NVIDIA L40S,"D(1024,256)",256,120.578,1792,1792,0,0,14.862,2853.5,14142.8,267.513,513.275,771.514,61.959,62.905,63.282,16059.633,16518.027,1012.835,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,243.37,0,1953,2516.04
