run_id,run,arm,engine,workload,requests,prompt_tokens,output_tokens,kv_pool_tokens,max_running,output_tok_s,span_s,spec_tokens_per_round,spec_algorithm,spec_steps,spec_topk,spec_draft_tokens,sm_mhz_mean,sglang_version,git_commit
20260922T105137,0,standalone,sglang,unique,128,65536,16384,65536,32,943.8,17.359,3.1303,STANDALONE,4,1,5,2221.36,0.5.10,e82ee8e8813c
20260922T105137,1,standalone,sglang,unique,128,65536,16384,65536,32,947.1,17.298,3.1333,STANDALONE,4,1,5,2241.62,0.5.10,e82ee8e8813c
20260922T105437,0,eagle3,sglang,unique,128,65536,16384,65536,32,823.1,19.906,1.8528,EAGLE3,4,1,5,2257.7,0.5.10,e82ee8e8813c
20260922T105437,1,eagle3,sglang,unique,128,65536,16384,65536,32,833.4,19.66,1.8465,EAGLE3,4,1,5,2314.46,0.5.10,e82ee8e8813c
20260922T105706,0,eagle3_auto,sglang,unique,128,65536,16384,65536,32,850.5,19.264,1.7937,EAGLE3,3,1,4,2327.84,0.5.10,e82ee8e8813c
20260922T105706,1,eagle3_auto,sglang,unique,128,65536,16384,65536,32,863.9,18.966,1.7799,EAGLE3,3,1,4,2264.58,0.5.10,e82ee8e8813c
20260922T110349,0,plain,sglang,unique,256,131072,32768,65536,64,1220.7,26.844,,,,,,2221.2,0.5.10,e82ee8e8813c
20260922T110349,1,plain,sglang,unique,256,131072,32768,65536,64,1217.2,26.92,,,,,,2215.5,0.5.10,e82ee8e8813c
20260922T110721,0,standalone,sglang,unique,256,131072,32768,65536,64,1182.8,27.703,3.1438,STANDALONE,4,1,5,2157.35,0.5.10,e82ee8e8813c
20260922T110721,1,standalone,sglang,unique,256,131072,32768,65536,64,1191.8,27.494,3.1438,STANDALONE,4,1,5,2075.0,0.5.10,e82ee8e8813c
20260922T110959,0,eagle3,sglang,unique,256,131072,32768,65536,64,1089.4,30.08,1.8647,EAGLE3,4,1,5,2109.82,0.5.10,e82ee8e8813c
20260922T110959,1,eagle3,sglang,unique,256,131072,32768,65536,64,1089.6,30.073,1.8647,EAGLE3,4,1,5,2127.05,0.5.10,e82ee8e8813c
20260922T111315,0,eagle3_auto,sglang,unique,256,131072,32768,65536,64,1188.3,27.576,1.8436,EAGLE3,3,1,4,2155.59,0.5.10,e82ee8e8813c
20260922T111315,1,eagle3_auto,sglang,unique,256,131072,32768,65536,64,1181.9,27.724,1.8436,EAGLE3,3,1,4,2148.75,0.5.10,e82ee8e8813c
