run_id,arm,device,scenario,concurrency,run_duration_s,num_requests,num_completed,num_errors,error_rate,requests_per_s,output_tok_s,total_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,tpot_max_ms,e2e_p50_ms,e2e_p99_ms,input_tokens_mean,output_tokens_mean,time_unit,source,running_batch_mean,preemptions,engine_steps,sm_mhz_mean
20260919T211934,miniserve,NVIDIA L40S,"D(1024,256)",1,120.192,107,107,0,0,0.89,172.5,855.0,30.058,30.962,31.732,4.22,4.228,4.228,1106.363,1108.427,1012.679,256.0,ms,D1024_256_text-to-text_num_concurrency_1_time_120s.json,1.0,0,27605,2520.0
20260919T211934,miniserve,NVIDIA L40S,"D(1024,256)",4,120.21,336,336,0,0,2.795,536.7,2659.8,87.169,105.774,106.753,5.2,5.258,5.26,1415.908,1431.299,1012.774,256.0,ms,D1024_256_text-to-text_num_concurrency_4_time_120s.json,3.97,0,21722,2517.73
20260919T211934,miniserve,NVIDIA L40S,"D(1024,256)",32,120.234,1248,1248,0,0,10.38,1992.8,9875.6,113.164,143.003,171.102,11.512,11.789,11.836,3048.204,3102.524,1012.585,255.984,ms,D1024_256_text-to-text_num_concurrency_32_time_120s.json,31.47,0,10156,2491.45
20260919T211934,miniserve,NVIDIA L40S,"D(1024,256)",256,120.477,1792,1792,0,0,14.874,2855.9,14152.9,267.153,496.829,705.006,61.845,62.72,62.819,16029.245,16422.814,1012.669,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,243.31,0,1956,2515.51
