run_id,arm,device,scenario,concurrency,run_duration_s,num_requests,num_completed,num_errors,error_rate,requests_per_s,output_tok_s,total_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,tpot_max_ms,e2e_p50_ms,e2e_p99_ms,input_tokens_mean,output_tokens_mean,time_unit,source,running_batch_mean,preemptions,engine_steps,sm_mhz_mean
20260919T213839,overlap_on,NVIDIA L40S,"D(1024,256)",32,120.24,1248,1248,0,0,10.379,1992.8,9876.1,110.557,161.584,306.642,11.535,11.808,11.913,3048.347,3246.394,1012.702,256.0,ms,D1024_256_text-to-text_num_concurrency_32_time_120s.json,31.41,0,10166,2488.2
20260919T213839,overlap_on,NVIDIA L40S,"D(1024,256)",256,120.563,1792,1792,0,0,14.864,2853.8,14143.7,266.898,491.364,732.349,61.894,62.801,62.934,16045.061,16472.848,1012.757,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,243.35,0,1954,2514.71
20260919T214333,overlap_off,NVIDIA L40S,"D(1024,256)",32,120.256,1088,1088,0,0,9.047,1737.1,8609.2,86.357,116.518,126.629,13.354,13.494,13.587,3491.402,3540.94,1012.762,256.0,ms,D1024_256_text-to-text_num_concurrency_32_time_120s.json,31.58,0,8850,2496.43
20260919T214333,overlap_off,NVIDIA L40S,"D(1024,256)",256,120.516,1413,1413,0,0,11.725,2251.7,11159.7,248.259,815.547,1038.414,75.748,76.805,76.82,19566.612,20189.043,1012.79,256.0,ms,D1024_256_text-to-text_num_concurrency_256_time_120s.json,242.45,0,1619,2518.02
