run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,e2e_mean_ms,e2e_p99_ms,e2e_short_mean_ms,e2e_long_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,overlap,schedule_policy,sm_mhz_mean,git_commit
20260919T204631,0,policy_cache,policy,0.0,128,69632,19936,8192,983.11,12297.03,983.11,983.11,6850.5,17650.5,5217.9,17650.5,11.66,51.23,5273.55,1129.5,17.65,28290,0.7824,79008,66,1,1382,47,2048,13.73,11.56,31.19,True,True,cache,2505.54,d8f69f1dea1e
20260919T204631,1,policy_sjf,policy,0.0,128,69632,19936,8192,1848.29,9205.96,3260.0,1480.64,5204.6,21154.9,1885.3,21412.3,11.67,39.12,5764.99,925.8,21.533,41420,0.6029,55424,43,3,1672,31,2048,11.63,11.63,53.67,True,True,sjf,2520.0,d8f69f1dea1e
20260919T204631,2,policy_fcfs,policy,0.0,128,69632,19936,8192,7829.8,15828.94,7407.37,7829.8,8944.7,22420.8,7189.5,22420.8,11.69,44.76,5357.96,889.2,22.421,48877,0.5221,47728,52,1,1701,63,2048,11.19,11.87,32.02,True,True,fcfs,2506.29,d8f69f1dea1e
