metric,miniserve,minisgl,ratio
output_tok_s,6240.35,7655.85,0.8151
ttft_p50_ms,474.09,637.18,0.744
ttft_p95_ms,2280.49,1985.34,1.1487
itl_p50_ms,31.24,20.05,1.5581
itl_p99_ms,38.88,37.88,1.0267
e2e_mean_ms,2212.5,1849.4,1.1963
