run_id,run,arm,workload,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,e2e_mean_ms,e2e_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,blueprint_commit,git_commit,sm_mhz_mean
20260921T010627,0,minisgl,unique,256,32768,24576,32768,711.6,3535.82,3946.9,5246.2,20.87,34.64,434.84,4684.5,5.246,9a91cfafe754,d9c80c9f5105,2520.0
20260921T010627,1,minisgl,unique,256,32768,24576,32768,717.61,3542.28,3951.5,5250.5,20.78,36.4,429.18,4680.7,5.25,9a91cfafe754,d9c80c9f5105,2520.0
20260921T010627,2,minisgl,unique,256,32768,24576,32768,712.11,3543.59,3961.1,5254.5,20.97,44.54,434.8,4677.1,5.255,9a91cfafe754,d9c80c9f5105,2508.75
20260921T010710,0,minisgl,unique,256,32768,24576,32768,714.03,3543.65,3954.4,5255.3,20.91,33.06,437.02,4676.4,5.255,9a91cfafe754,d9c80c9f5105,2505.0
20260921T010710,1,minisgl,unique,256,32768,24576,32768,718.17,3541.22,3952.5,5251.8,20.86,36.73,437.12,4679.5,5.252,9a91cfafe754,d9c80c9f5105,2505.0
20260921T010710,2,minisgl,unique,256,32768,24576,32768,716.05,3541.69,3955.0,5254.2,20.87,37.34,437.59,4677.4,5.254,9a91cfafe754,d9c80c9f5105,2505.0
