run_id,run,arm,workload,arrival_rate,requests,prompt_tokens,output_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,ttft_long_p50_ms,ttft_short_p50_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,prefill_tokens_computed,hit_rate,cached_tokens,preemptions,prefill_steps,decode_steps,mixed_steps,chunked_prefill_size,mean_decode_batch,decode_step_ms,mixed_step_ms,cuda_graph,sm_mhz_mean,git_commit
20260919T182527,0,chunk_512,unique,0.0,64,69632,4096,32768,2993.74,6027.98,,2993.74,46.55,48.2,48.76,555.7,7.371,69632,0.0,0,0,3,65,141,512,14.65,16.17,44.11,True,2520.0,83fed097e0e6
20260919T182527,1,chunk_off,unique,0.0,64,69632,4096,32768,4321.01,8156.42,,4321.01,24.09,633.07,1727.91,460.6,8.893,71844,0.0,0,2,12,189,0,0,21.32,19.99,,True,2520.0,83fed097e0e6
20260919T182527,2,chunk_off,unique,0.0,64,69632,4096,32768,4325.21,8163.43,,4325.21,24.11,633.72,1729.66,460.4,8.897,71844,0.0,0,2,12,189,0,0,21.32,19.98,,True,2520.0,83fed097e0e6
20260919T182527,3,chunk_512,unique,0.0,64,69632,4096,32768,3000.25,6047.7,,3000.25,46.79,48.6,50.23,554.3,7.389,69632,0.0,0,0,3,65,141,512,14.65,16.16,44.24,True,2520.0,83fed097e0e6
20260919T182527,4,chunk_512,unique,0.0,64,69632,4096,32768,2995.71,6026.76,,2995.71,46.67,48.26,48.3,556.2,7.365,69632,0.0,0,0,3,65,141,512,14.65,16.1,44.1,True,2520.0,83fed097e0e6
20260919T182527,5,chunk_off,unique,0.0,64,69632,4096,32768,4322.21,8170.75,,4322.21,24.14,633.5,1733.55,460.0,8.904,71844,0.0,0,2,12,189,0,0,21.32,20.0,,True,2511.32,83fed097e0e6
