run_id,run,arm,workload,requests,prompt_tokens,kv_pool_tokens,ttft_p50_ms,ttft_p95_ms,e2e_mean_ms,e2e_p99_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,output_tok_s,span_s,output_tokens,blueprint_commit,git_commit,sm_mhz_mean
20260926T022259,0,minisgl,unique,8,4096,32768,164.19,164.19,2387.6,2387.6,8.72,9.61,9.87,857.8,2.388,2048,9a91cfafe754,3ba10e78f3c2,2520.0
20260926T022259,1,minisgl,unique,8,4096,32768,12.07,12.07,2229.9,2229.9,8.7,9.6,9.62,918.4,2.23,2048,9a91cfafe754,3ba10e78f3c2,2520.0
20260926T022259,2,minisgl,unique,8,4096,32768,12.06,12.06,2238.7,2238.7,8.7,9.57,9.61,914.8,2.239,2048,9a91cfafe754,3ba10e78f3c2,2520.0
20260926T022347,0,minisgl,unique,8,4096,32768,164.07,164.07,2389.3,2389.3,8.73,9.61,9.63,857.2,2.389,2048,9a91cfafe754,3ba10e78f3c2,2520.0
20260926T022347,1,minisgl,unique,8,4096,32768,11.81,11.81,2244.2,2244.2,8.77,9.73,9.88,912.6,2.244,2048,9a91cfafe754,3ba10e78f3c2,2520.0
20260926T022347,2,minisgl,unique,8,4096,32768,11.97,11.97,2237.5,2237.5,8.73,9.59,9.79,915.3,2.238,2048,9a91cfafe754,3ba10e78f3c2,2520.0
