metric,miniserve,minisgl,ratio
output_tok_s,1710.65,2255.4,0.7585
ttft_p50_ms,1859.54,707.32,2.629
ttft_p95_ms,4302.72,2912.65,1.4773
itl_p50_ms,24.36,18.72,1.3013
itl_p99_ms,499.4,249.13,2.0046
e2e_mean_ms,4565.85,2602.0,1.7547
