metric,miniserve,minisgl,ratio
output_tok_s,3968.4,4419.05,0.898
ttft_p50_ms,981.08,720.37,1.3619
ttft_p95_ms,981.08,837.89,1.1709
itl_p50_ms,20.47,17.02,1.2023
itl_p99_ms,30.75,38.0,0.8093
e2e_mean_ms,2992.85,2666.75,1.1223
