metric,miniserve,minisgl,ratio
output_tok_s,3071.5,4680.5,0.6562
ttft_p50_ms,1828.68,711.69,2.5695
ttft_p95_ms,6366.74,3539.55,1.7987
itl_p50_ms,34.07,20.93,1.6282
itl_p99_ms,474.76,32.98,14.3934
e2e_mean_ms,6312.05,3950.85,1.5976
