metric,miniserve,minisgl,ratio
output_tok_s,6244.15,4451.6,1.4027
ttft_p50_ms,473.7,2210.47,0.2143
ttft_p95_ms,2280.19,4562.57,0.4998
itl_p50_ms,31.13,10.21,3.0475
itl_p99_ms,38.73,21.93,1.7654
e2e_mean_ms,2213.0,2833.2,0.7811
